күн; n; nom; sg; 3sg
жакшы; adj
мажбур; adj
аюум; n; nom; sg; p1sg
аюуң; n; nom; sg; p2sg
келгем; v; past; px1sg
бийле; v; act; imp
бирик; v; act; imp
бур; v; act; imp
жакында; v; act; imp
жашырын; v; act; imp
жогол; v; act; imp
жумша; v; act; imp
жылмай; v; act; imp
кайт; v; act; imp
карман; v; act; imp
катыш; v; act; imp
кач; v; act; imp
кездеш; v; act; imp
келиш; v; act; imp
кий; v; act; imp
корк; v; act; imp
курчан; v; act; imp
кыйкыр; v; act; imp
кышта; v; act; imp
кыялдан; v; act; imp
ойно; v; act; imp
олтур; v; act; imp
отто; v; act; imp
өкүн; v; act; imp
өл; v; act; imp
салгылаш; v; act; imp
секир; v; act; imp
соодала; v; act; imp
суктан; v; act; imp
суран; v; act; imp
сүз; v; act; imp
сүйлө; v; act; imp
токто; v; act; imp
төк; v; act; imp
түнө; v; act; imp
тый; v; act; imp
ук; v; act; imp
умтул; v; act; imp
катуу; adj
толук; adj
так; adv
өткөр; v; act; imp
уулуу; adj
негизги; adj
жүрөт; v; act; ind_fut
түшүп; v; advv_acc
ылайык; adj
кылуу; v; ger
карата; v; gna_impf
сүйлөш; v; ger_pres
боло; v; gna_impf
чакыр; v; act; imp
чакыруу; v; ger
чыгат; v; act; ind_fut
акылдуу; adj
система; n; nom; sg; 3sg
койгон; v; act; ind_past
жар; v; act; imp
атал; v; act; imp
ташта; v; act; imp
өнүк; v; act; imp
өнүгүү; v; ger
улуттук; adj
тең; adv
жазыл; v; act; imp
президент; n; nom; sg; 3sg
жибер; v; act; imp
белгиле; v; act; imp
белгилөө; v; ger
кирип; v; advv_acc
мына; pn; dem
өзү; pn; qnt
алдында; adv
иштеп; v; advv_acc
түн; n; nom; sg; 3sg
жогорку; adj
ур; v; act; imp
өтүп; v; advv_acc
ачык; adj
илимий; adj
ач; v; act; imp
ушундай; adj
өзгөчө; adj
жет; v; act; imp
жеткен; v; act; ind_past
айрым; adj
болор; v; act; ind_fut
ил; v; act; imp
жаша; v; act; imp
коюл; v; act; imp
окшо; v; act; imp
окшоо; v; ger
караган; v; act; ind_past
байланыштуу; adj
жөнө; v; act; imp
түшкөн; v; pcp_ps
ая; v; act; imp
айоо; v; ger
барат; v; act; ind_fut
тура; v; act; imp
туроо; v; ger
компьютер; n; nom; sg; 3sg
ноутбук; n; nom; sg; 3sg
атып; v; advv_acc
оку; v; act; imp
окуп; v; advv_acc
ойноп; v; advv_acc
аяп; v; advv_acc
байкап; v; advv_acc
сом; n; nom; sg; 3sg
айтат; v; act; ind_fut
мин; v; act; imp
ишен; v; act; imp
чеч; v; act; imp
кайтуу; v; ger
азыркы; adj
кантип; pn; itg
каала; v; act; imp
каалап; v; advv_acc
 өп; v; act; imp
өбуу; v; ger
өбүп; v; advv_acc
карма; v; act; imp
кармоо; v; ger
кармап; v; advv_acc
баягы; adv
баштал; v; act; imp
бүлө; n; nom; sg; 3sg
алыс; adj
окуучу; n; nom; sg; 3sg
чап; v; act; imp
чабуу; v; ger
чабып; v; advv_acc
ыйла; v; act; imp
ыйлоо; v; ger
ыйлап; v; advv_acc
мындан; adv
үйрөн; v; act; imp
тикте; v; act; imp
тиктөө; v; ger
тиктеп; v; advv_acc
айтты; v; act; ind_past
аныкта; v; act; imp
аныктап; v; advv_acc
аныктоо; v; ger
бөлүн; v; act; imp
угуп; v; advv_acc
жумуш; n; nom; sg; 3sg
тол; v; act; imp
таап; v; advv_acc
датка; n; nom; sg; 3sg
бара; v; gna_impf
чыгуу; v; ger
изилдеп; v; advv_acc
аткар; v; act; imp
фонд; n; nom; sg; 3sg
тааны; v; act; imp
ачыл; v; act; imp
этиш; <n><nom><sg><3sg>
кир; v; act; imp
корго; v; act; imp
коргоо; v; ger
коргоп; v; advv_acc
кошул; v; act; imp
жарат; v; act; imp
башта; v; act; imp
баштап; v; advv_acc
баштаган; v; act; ind_past
камсыз; adj
район; n; nom; sg; 3sg
замат; adv
ички; adj
зарыл; mod
көтөр; v; act; imp
жазып; v; advv_acc
сүй; v; act; imp
элдик; adj
чыгыш; n; nom; sg; 3sg
өзүнчө; adv
буз; v; act; imp
төмөнкү; adj
грамматикалык; adj
сана; v; act; imp
санал; v; act; imp
коомдук; adj
жашаган; v; pcp_ps
кылым; n; nom; sg; 3sg
алдоо; v; ger
алдап; v; advv_acc
мамлекеттик; adj
укта; v; act; imp
уктоо; v; ger
уктап; v; advv_acc
туул; v; act; imp
ырда; v; act; imp
жүргүз; v; act; imp
чыга; v; gna_impf
китепкана; n; nom; sg; 3sg
колдонуу; v; ger
башкар; v; act; imp
алдынча; adv
танда; v; act; imp
тандоо; v; ger
тандап; v; advv_acc
бөл; v; act; imp
кийинки; adj
кошо; v; gna_impf
сура; v; act; imp
сурап; v; advv_acc
согуш; n; nom; sg; 3sg
унут; v; act; imp
коюу; v; ger
орган; n; nom; sg; 3sg
учуп; v; advv_acc
эсепте; v; act; imp
эсептеп; v; advv_acc
эсептөө; v; ger
терең; adj
техникалык; adj
аке; n; nom; sg; 3sg
ээле; v; act; imp
ээлөө; v; ger
ээлеп; v; advv_acc
келечек; n; nom; sg; 3sg
айтылган; v; pcp_ps
өр; v; act; imp
котор; v; act; imp
акыркы; adj
жарал; v; act; imp
калтыр; v; act; imp
үз; v; act; imp
жыштык; n; nom; sg; 3sg
сүйлөм; n; nom; sg; 3sg
төмөндө; v; act; imp
угул; v; pass; imp
көчө; n; nom; sg; 3sg
башкы; adj
тын; v; act; imp
сез; v; act; imp
сунуш; n; nom; sg; 3sg
ыкма; n; nom; sg; 3sg
долбоор; n; nom; sg; 3sg
караш; v; ger_pres
кезе; n; nom; sg; 3sg
тиешелүү; adj
түшүр; v; act; imp
жылкы; n; nom; sg; 3sg
өт; v; act; imp
чакчыл; n; nom; sg; 3sg
ыраазы; adj
сал; v; act; imp
тарыхый; adj
билдир; v; act; imp
ула; v; act; imp
улоо; v; ger
улап; v; advv_acc
эки; num; card
бир; num; card
үч; num; card
төрт; num; card
беш; num; card
алты; num; card
жети; num; card
сегиз; num; card
тогуз; num; card
он; num; card
жыйырма; num; card
отуз; num; card
кырк; num; card
элүү; num; card
жетимиш; num; card
алтымыш; num; card
сексен; num; card
токсон; num; card
жүз; num; card
миң; num; card
миллион; num; card
миллиард; num; card
триллион; num; card
квадриллион; num; card
квинтиллион; num; card
секстиллион; num; card
септиллион; num; card
октиллион; num; card
нониллион; num; card
ура; intrj
ураа; intrj
изде; v; act; imp
тайгалан; v; act; imp
үйрөт; v; act; imp
сакта; v; act; imp
сактоо; v; ger
бекен; post
министр; n; nom; sg; 3sg
университет; n; nom; sg; 3sg
оорузат; n; nom; sg; 3sg
кон; v; act; imp
кете; v; gna_impf
иште; v; act; imp
душман; n; nom; sg; 3sg
жаса; v; act; imp
сонун; adj
айтса; v; act; cnd
чейинки; adj
байыркы; adj
экономикалык; adj
экономика; n; nom; sg; 3sg
түзүлүш; n; nom; sg; 3sg
кичинекей; adj
бата; n; nom; sg; 3sg
жеткир; v; act; imp
таштоо; v; ger
таштап; v; advv_acc
курам; n; nom; sg; 3sg
түрк; n; nom; sg; 3sg
жөнөкөй; adj
калыптыр; v; act; ind_past
түшүндүр; v; act; imp
бүткөн; v; act; ind_past
кубан; v; act; imp
белгиленген; v; pcp_ps
текшер; v; act; imp
жергиликтүү; adj
сун; v; act; imp
чурка; v; act; imp
чуркоо; v; ger
жеп; v; advv_acc
ошондо; conj
сол; adj
оң; adj
унчук; v; act; imp
жазылган; v; pcp_ps
жылдык; adj
арнал; v; act; imp
алгачкы; adj
жасап; v; advv_acc
сыйла; v; act; imp
сыйлоо; v; ger
сыйлап; v; advv_acc
кээ; cnj
турса; v; act; cnd
министрлик; n; nom; sg; 3sg
кеңири; adj
этип; v; advv_acc
баала; v; act; imp
баалоо; v; ger
баалап; v; advv_acc
таян; v; act; imp
аттан; v; act; imp
мурдагы; adj
улант; v; act; imp
жасоо; v; ger
ири; adj
окут; v; act; imp
табыл; v; pass; imp
аткан; v; pcp_ps
бышыктооч; n; nom; sg; 3sg
алп; n; nom; sg; 3sg
адабий; adj
кайрыл; v; act; imp
кайтар; v; act; imp
сык; v; act; imp
сыгуу; v; ger
сыгып; v; advv_acc
айтыш; v; act; imp
жашыр; v; act; imp
тынч; adv
шайлоо; v; ger
шайла; v; act; imp
шайлап; v; advv_acc
аякта; v; act; imp
аяктоо; v; ger
аяктап; v; advv_acc
материал; n; nom; sg; 3sg
роль; n; nom; sg; 3sg
камты; v; act; imp
камтуу; v; ger
камтып; v; advv_acc
аталыш; n; nom; sg; 3sg
салмак; n; nom; sg; 3sg
дил; n; nom; sg; 3sg
шаш; v; act; imp
ошент; v; act; imp
асыл; adj
жүгүрт; v; act; imp
көптө; v; act; imp
көптөө; v; ger
көптөп; v; advv_acc
төрөл; v; act; imp
принцип; n; nom; sg; 3sg
кылыш; v; act; imp
бүгүнкү; adj
тут; v; act; imp
кем; adj
көрсөткүч; n; nom; sg; 3sg
баянда; v; act; imp
тарткан; v; act; ind_past
жетиш; v; act; imp
кадимки; adj
кун; n; nom; sg; 3sg
койсо; v; act; cnd
соолук; n; nom; sg; 3sg
ини; n; nom; sg; 3sg
чаап; v; advv_acc
тип; n; nom; sg; 3sg
жолук; v; act; imp
жолугуу; v; ger
жолугуп; v; advv_acc
ашыр; v; act; imp
чыда; v; act; imp
чыдап; v; advv_acc
чыдоо; v; ger
айлана; n; nom; sg; 3sg
программа; n; nom; sg; 3sg
программист; n; nom; sg; 3sg
процессор; n; nom; sg; 3sg
процедура; n; nom; sg; 3sg
диск; n; nom; sg; 3sg
утилита; n; nom; sg; 3sg
браузер; n; nom; sg; 3sg
чычкан; n; nom; sg; 3sg
клавиатура; n; nom; sg; 3sg
наушник; n; nom; sg; 3sg
квант; n; nom; sg; 3sg
моль; n; nom; sg; 3sg
протон; n; nom; sg; 3sg
электрон; n; nom; sg; 3sg
нейтрон; n; nom; sg; 3sg
кварк; n; nom; sg; 3sg
фотон; n; nom; sg; 3sg
глюон; n; nom; sg; 3sg
мюон; n; nom; sg; 3sg
бозон; n; nom; sg; 3sg
жазма; adj
окшош; adj
төмөндөгү; adj
бекем; adj
татаал; adj
кары; adj
резидент; n; nom; sg; 3sg
ойло; v; act; imp
ойлоп; v; advv_acc
атындагы; adj
жайгаш; v; act; imp
түшүн; v; act; imp
башкача; adj
институт; n; nom; sg; 3sg
вуз; n; nom; sg; 3sg
көптөгөн; adj
объект; n; nom; sg; 3sg
минт; v; act; imp
суутек; n; nom; sg; 3sg
гелий; n; nom; sg; 3sg
литий; n; nom; sg; 3sg
берилий; n; nom; sg; 3sg
азот; n; nom; sg; 3sg
кычкылтек; n; nom; sg; 3sg
фтор; n; nom; sg; 3sg
неон; n; nom; sg; 3sg
магний; n; nom; sg; 3sg
алюминий; n; nom; sg; 3sg
кремний; n; nom; sg; 3sg
фосфор; n; nom; sg; 3sg
хлор; n; nom; sg; 3sg
аргон; n; nom; sg; 3sg
калий; n; nom; sg; 3sg
кальций; n; nom; sg; 3sg
скандий; n; nom; sg; 3sg
титан; n; nom; sg; 3sg
ванадий; n; nom; sg; 3sg
хром; n; nom; sg; 3sg
марганец; n; nom; sg; 3sg
кобальт; n; nom; sg; 3sg
никель; n; nom; sg; 3sg
цинк; n; nom; sg; 3sg
галлий; n; nom; sg; 3sg
германий; n; nom; sg; 3sg
мышьяк; n; nom; sg; 3sg
селен; n; nom; sg; 3sg
бром; n; nom; sg; 3sg
криптон; n; nom; sg; 3sg
рубидий; n; nom; sg; 3sg
стронций; n; nom; sg; 3sg
иттрий; n; nom; sg; 3sg
цирконий; n; nom; sg; 3sg
ниобий; n; nom; sg; 3sg
молибден; n; nom; sg; 3sg
технеций; n; nom; sg; 3sg
рутений; n; nom; sg; 3sg
родий; n; nom; sg; 3sg
палладий; n; nom; sg; 3sg
кадмий; n; nom; sg; 3sg
индий; n; nom; sg; 3sg
сурьма; n; nom; sg; 3sg
теллур; n; nom; sg; 3sg
йод; n; nom; sg; 3sg
ксенон; n; nom; sg; 3sg
цезий; n; nom; sg; 3sg
барий; n; nom; sg; 3sg
лантан; n; nom; sg; 3sg
церий; n; nom; sg; 3sg
празеодим; n; nom; sg; 3sg
неодим; n; nom; sg; 3sg
прометий; n; nom; sg; 3sg
самарий; n; nom; sg; 3sg
европий; n; nom; sg; 3sg
гадолиний; n; nom; sg; 3sg
тербий; n; nom; sg; 3sg
диспрозий; n; nom; sg; 3sg
гольмий; n; nom; sg; 3sg
эрбий; n; nom; sg; 3sg
тулий; n; nom; sg; 3sg
иттербий; n; nom; sg; 3sg
лютеций; n; nom; sg; 3sg
гафний; n; nom; sg; 3sg
тантал; n; nom; sg; 3sg
вольфрам; n; nom; sg; 3sg
рений; n; nom; sg; 3sg
осмий; n; nom; sg; 3sg
иридий; n; nom; sg; 3sg
платина; n; nom; sg; 3sg
сымап; n; nom; sg; 3sg
таллий; n; nom; sg; 3sg
коргошун; n; nom; sg; 3sg
висмут; n; nom; sg; 3sg
полоний; n; nom; sg; 3sg
астат; n; nom; sg; 3sg
радон; n; nom; sg; 3sg
франций; n; nom; sg; 3sg
радий; n; nom; sg; 3sg
актиний; n; nom; sg; 3sg
торий; n; nom; sg; 3sg
протактиний; n; nom; sg; 3sg
нептуний; n; nom; sg; 3sg
плутоний; n; nom; sg; 3sg
америций; n; nom; sg; 3sg
кюрий; n; nom; sg; 3sg
берклий; n; nom; sg; 3sg
калифорний; n; nom; sg; 3sg
эйнштейний; n; nom; sg; 3sg
фермий; n; nom; sg; 3sg
менделевий; n; nom; sg; 3sg
нобелий; n; nom; sg; 3sg
лоуренсий; n; nom; sg; 3sg
резерфордий; n; nom; sg; 3sg
дубний; n; nom; sg; 3sg
сиборгий; n; nom; sg; 3sg
хассий; n; nom; sg; 3sg
мейтнерий; n; nom; sg; 3sg
дармштадтий; n; nom; sg; 3sg
рентгений; n; nom; sg; 3sg
коперниций; n; nom; sg; 3sg
нихоний; n; nom; sg; 3sg
флеровий; n; nom; sg; 3sg
московий; n; nom; sg; 3sg
ливерморий; n; nom; sg; 3sg
теннессин; n; nom; sg; 3sg
оганесон; n; nom; sg; 3sg
метан; n; nom; sg; 3sg
ацетилен; n; nom; sg; 3sg
этилен; n; nom; sg; 3sg
этан; n; nom; sg; 3sg
тоулол; n; nom; sg; 3sg
глюкоза; n; nom; sg; 3sg
сахароза; n; nom; sg; 3sg
глицерин; n; nom; sg; 3sg
альдегид; n; nom; sg; 3sg
тыгыздык; n; nom; sg; 3sg
эритме; n; nom; sg; 3sg
кислота; n; nom; sg; 3sg
ион; n; nom; sg; 3sg
электролит; n; nom; sg; 3sg
эриткич; n; nom; sg; 3sg
анилин; n; nom; sg; 3sg
ацетон; n; nom; sg; 3sg
бензол; n; nom; sg; 3sg
камфора; n; nom; sg; 3sg
нитробензол; n; nom; sg; 3sg
фенол; n; nom; sg; 3sg
хлороформ; n; nom; sg; 3sg
басым; n; nom; sg; 3sg
ваакум; n; nom; sg; 3sg
эквивалент; n; nom; sg; 3sg
атом; n; nom; sg; 3sg
коэффициент; n; nom; sg; 3sg
химия; n; nom; sg; 3sg
органика; n; nom; sg; 3sg
органикалык; adj
келишим; n; nom; sg; 3sg
жыйна; v; act; imp
жыйнап; v; advv_acc
жыйноо; v; ger
коопсуздук; n; nom; sg; 3sg
сүйлөш; v; act; imp
чогул; v; act; imp
ээрчит; v; act; imp
маданий; adj
чал; n; nom; sg; 3sg
лексика; n; nom; sg; 3sg
даяр; adj
калыш; v; act; imp
быш; v; act; imp
салыштыр; v; act; imp
тап; v; act; imp
педагогика; n; nom; sg; 3sg
бетер; post
арык; adj
тал; n; nom; sg; 3sg
талда; v; act; imp
талдоо; v; ger
талдап; v; advv_acc
өлчөм; n; nom; sg; 3sg
жыгыл; v; act; imp
электрондук; adj
алба; v; act; imp; neg
оро; v; act; imp
ороо; v; ger
ороп; v; advv_acc
караса; v; act; cnd
кармаш; v; act; imp
ажырат; v; act; imp
узат; v; act; imp
арын; v; act; imp
сүйлөп; v; advv_acc
ченем; n; nom; sg; 3sg
сына; v; act; imp
сыноо; v; ger
сынап; v; advv_acc
кылын; v; pass; ind
кошумча; n; nom; sg; 3sg
саясий; adj
ойлон; v; act; imp
курак; n; nom; sg; 3sg
кыла; n; nom; sg; 3sg
тапшыр; v; act; imp
оозеки; adj
кутул; v; act; imp
расмий; adj
ишмердүүлүк; n; nom; sg; 3sg
керектүү; adj
колдо; v; act; imp
колдоо; v; ger
колдоп; v; advv_acc
түшөт; v; act; ind_fut
ыргыт; v; act; imp
айтыл; v; pass; imp
бербей; v; neg; gna_impf
тест; n; nom; sg; 3sg
бергиле; v; act; imp
термин; n; nom; sg; 3sg
төлө; v; act; imp
төлөп; v; advv_acc
салат; n; nom; sg; 3sg
тааныш; v; act; imp
сап; n; nom; sg; 3sg
жашын; v; act; imp
чарча; v; act; imp
чарчоо; v; ger
чарчап; v; advv_acc
бүтүр; v; act; imp
ката; n; nom; sg; 3sg
тактооч; n; nom; sg; 3sg
бошот; v; act; imp
карабас; v; fut_neg
туруш; v; ger_pres
токтол; v; act; imp
чыгар; v; act; imp
киргиз; v; act; imp
курулуш; n; nom; sg; 3sg
тике; adj
бактылуу; adj
мурунку; adj
айрыкча; adv
доктор; n; nom; sg; 3sg
жума; n; nom; sg; 3sg
шейшемби; n; nom; sg; 3sg
шаршемби; n; nom; sg; 3sg
бейшемби; n; nom; sg; 3sg
ишемби; n; nom; sg; 3sg
жекшемби; n; nom; sg; 3sg
көтөрүл; v; act; imp
укуктук; adj
жактыр; v; act; imp
кулжа; n; nom; sg; 3sg
теке; n; nom; sg; 3sg
батыш; n; nom; sg; 3sg
түштүк; n; nom; sg; 3sg
туруктуу; adj
айдап; v; advv_acc
айдоо; v; ger
жең; v; act; imp
көн; v; act; imp
тирүү; adj
толукта; v; act; imp
толуктоо; v; ger
толуктап; v; advv_acc
аш; v; act; imp
көбүрөөк; adj
метод; n; nom; sg; 3sg
куруу; v; ger
куруп; v; advv_acc
ушинт; v; act; imp
табуу; v; ger
табып; v; advv_acc
теория; n; nom; sg; 3sg
ашык; adv
анча; adv
де; v; act; imp
өп; v; act; imp
өбүү; v; ger
абдан; cnj
жара; n; nom; sg; 3sg
жарап; v; advv_acc
асты; n; nom; sg; 3sg
көрүнүш; n; nom; sg; 3sg
жеш; v; ger
облус; n; nom; sg; 3sg
ас; v; act; imp
баса; mod
даана; adv
катта; v; act; imp
канчалык; pn; itg
көнүгүү; v; ger
көнүгүп; v; advv_acc
ушунча; adv
жуу; v; act; imp
жубуу; v; ger
жууп; v; advv_acc
өмүрүн; n; nom; sg; 3sg; acc
жөнөт; v; act; imp
үр; v; act; imp
дүйнөлүк; adj
жый; v; act; imp
биримдик; n; nom; sg; 3sg
оз; v; act; imp
кирин; v; act; imp
кара; v; act; imp
кайтала; v; act; imp
кайталап; v; advv_acc
кайталоо; v; ger
арна; v; act; imp
арнап; v; advv_acc
арноо; v; ger
каран; v; act; imp
ат; v; act; imp
өндүрүш; n; nom; sg; 3sg
тиле; v; act; imp
тилеп; v; advv_acc
тилөө; v; ger
алдындагы; adv
кечир; v; act; imp
аралаш; v; act; imp
кучакта; v; act; imp
небак; adv
өгүнү; adv
бүрсүгүнү; adv
эбак; adv
мурдагүнү; adv
ылдам; adv
жай; adv
бат; adv
тез; adv
кеч; adv
аздыр; adv
жогору; adv
илгери; adv
кийин; adv
ары; adv
бери; adv
эрте; adv
дал; adv
чапчаң; adv
тескери; adv
күздөй; adv
кыштай; adv
күздү-күздөй; adv
кышты-кыштай; adv
жазды-жаздай; adv
жайды-жайлай; adv
акчалай; adv
утурлай; adv
ылдамдай; adv
бекерге; adv
алга; adv
зорго; adv
күнүгө; adv
жылыга; adv
кээде; adv
күндө; adv
абалтан; adv
эзелтен; adv
эмитен; adv
жанатан; adv
акырын; adv
тымызын; adv
күнүн; adv
түнүн; adv
кышын; adv
жазын; adv
жайын; adv
күзүн; adv
эртеден; adv
мурдатан; adv
баштатан; adv
арытан; adv
беритен; adv
беритеден; adv
арытадан; adv
ыкчам; adv
күнгө; adv
түштө; adv
өйдө; adv
кокустан; adv
эмитен; adv
мурунтан; adv
азыртан; adv
кечкурун; adv
төмөн; adv
белен; adv
илгертеден; adv
ичкертеден; adv
жогортон; adv
жогортодон; adv
баягүнү; adv
капкачан; adv
кечке; adv
эртеңдерден; adv
бүрсүгүндөрдөн; adv
аргасыздан; adv
эрксизден; adv
жиндиликтен; adv
атайын; adv
акырын; adv
аста; adv
адамча; adv
айбанча; adv
бирге; adv
каадасынча; adv
адатынча; adv
мурункусунча; adv
кайта; adv
жайбаракат; adv
бачым; adv
ушунчалык; adv
кайра-кайра; adv
тез-тез; adv
бат-бат; adv
алыс-алыс; adv
илгери-илгери; adv
кез-кез; adv
ылдам-ылдам; adv
мурда-мурда; adv
сүйлөй-сүйлөй; adv
кезек-кезек; adv
каптап-каптап; adv
өйдө-ылдый; adv
чогуу-чаран; adv
өйдө-төмөн; adv
илгери-кийин; adv
олбуй-солбуй; adv
астын-үстүн; adv
чогуу-чаран; adv
эртели-кеч; adv
жайы-кышы; adv
оңду-солду; adv
кез-кезде; adv
аз-аздан; adv
бат-баттан; adv
топ-топтон; adv
анда-санда; adv
андан-мындан; adv
ойдон-тоодон; adv
кээде-кээде; adv
күндө-күндө; adv
анда-мында; adv
оозмо-ооз; adv
көзмө-көз; adv
бетме-бет; adv
жекеме-жеке; adv
колмо-кол; adv
айылма-айыл; adv
жүзмө-жүз; adv
шаарма-шаар; adv
түтүнмө-түнүн; adv
эртедир-кечтир; adv
күндүр-түндүр; adv
жайдыр-кыштыр; adv
катар-катар; adv
ачык-айкын; adv
соо-саламат; adv
аман-эсен; adv
ала-сала; adv
кайта-кайта; adv
бүгүн-эртең; adv
эртең-бүрсүгүндөрдөн; adv
ачыктан-ачык; adv
ээн-эркин; adv
аста-секин; adv
үстү-үстүнө; adv
улам-улам; adv
үстөкө-босток; adv
кайта-кайта; adv
уйгу-туйгу; adv
алка-шалка; adv
абыр-шыбыр; adv
ыйкы-тыйкы; adv
аз-маз; adv
бир-бирден; adv
көп-көптөн; adv
каралжым; adj
испан; n; nom; sg; 3sg
калмак; n; nom; sg; 3sg
француз; n; nom; sg; 3sg
улуу-кичүү; adj
жаш-кары; adj
узун-кыска; adj
ачуу-таттуу; adj
жоон-ичке; adj
арык-семиз; adj
кең-тар; adj
эстүү-баштуу; adj
жылуу-жумшак; adj
илимдүү-билимдүү; adj
ак-кара; adj
кызыл-тазыл; adj
эски-уску; adj
майда-чүйдө; adj
жаман-жуман; adj
оңой-олтоң; adj
жоон-жолпу; adj
одур-бодур; adj
оргу-баргы; adj
жакын-жукун; adj
тааныш-туунуш; adj
ачык-айрым; adj
жөө-жалаң; adj
